titles,desc,valid
Analista de TI,"Desenvolvimento do eSocial utilizando Java, Spring, React, JBoss EAP e Oracle.",fullstack
Desenvolvedor de front-end,● Atuação na equipe de desenvolvimento da Landing Page da He4rt● Auxiliamento em projetos de outras comunidades na parte do front-end,front
Desenvolvedor full-stack júnior,● Responsavel por toda TI da empresa.● Criação de 5 landingpages com 100% de aprovação lighthouse● Criação de Menus Onlines responsivos e com alto desempenho.● Criação de todos UX/UI Designers da empresa,indefinido
Software Engineer,"In this job, worked on several projects related to fpass, such as landing pages, web app, admin, fstage (event stage app), working on building new features as well as support.Featured- Build of new real time chat;- Build of new admin system, which assembles itself from a config file;- Helped unlock devs less experienced with their impediments;Main techs:- Typescript, ReactJs, Nextjs, NodeJs, NestJs, MongoDB, Firebase, GCP, Swagger;",fullstack
Desenvolvedor de front-end,"Atuei na criação de um Website totalmente responsivo para uma barbearia, utilizando tecnologias como HTML, CSS e Javascript.",front
Desenvolvedor,"Desenvolvedor na empresa GorilaSquad, criação de página de vendas para a empresa.",indefinido
Analista Desenvolvedor de Software .NET,"- Desenvolvimento de aplicativos web com ASP .NET Core e C#- Análise de requisitos para desenvolvimento de sistemas- Desenvolvimento de software utilizando técnicas Clean Architecture- Implementação de projetos de software utilizando boas práticas de Programação Orientada a Objetos- Desenvolvimento e consumo de APIs REST/JSON- Desenvolvimento de software utilizando metodologias ágeis- Desenvolvimento front-end utilizando HTML5, CSS3 e JavaScript- Atuação com ferramentas de versionamento de código-fonte com o GIT- Implementação de testes automatizados utilizando boas práticas em TDD (Test-driven-development)",fullstack
Desenvolvedor de front-end,"Trabalhei no desenvolvimento, manutenção e refatoramento de features de sistema web (HTML, CSS, SASS) e mobile (iOS e Android) utilizando Angular Js, Ionic e WebSocket Pusher. Participei do processo de migração do sistema para o React, aplicando testes unitários e design atômico.",mobile
Mobile Developer,Software house,indefinido
Software Developer Sr. Analyst .Net,"- Projects to E-commerce and Marketplaces, adding new features and fixing issues.- ASPNET MVC/Core, CQRS, REST API, EFCore, xUnit, Azure Blob Storage, Jira and Bitbucket.- Responsible for code reviews, unit testing and participating in Scrum ceremonies.- Migrated AWS files to Azure Blob Storage in an automated way.",back
Software Developer Sr. Analyst .Net,"- Innovation projects to Dell as a client in international projects participating in Scrum ceremonies. Also, we used the agile methodology XP and TDD practice.- ASPNET MVC/Core, integrations with TFS by frameworks and REST, CQRS, Specflow with BDD, xUnit, extensions to Visual Studio (VSIX) using WPF, React, and Nuget (Nupkgs) packages.- I worked on multiple software projects simultaneously and participated in the whole software development to implementation and delivery.- Responsible for code reviews and unit testing.- Participated in the team to add SonarQube to the delivery flow process.",fullstack
Software Developer .Net,"- ASPNET MVC/Core (with micro ORM Dapper and DDD), REST API, Selenium WebDriver, PostgreSQL and SVN.- Unique developer of the project, the system was about to Human Resources.- Recreated a project using good practices and patterns in .NET Core from a legacy project.",back
Software Developer .Net,"- ASPNET MVC5 (with Entity Framework), Oracle, SQL Server and TFS.- Portal project about to the call centers from Dell.- Participating in the Scrum ceremonies with the team.",
Frontend Developer,Competências: GraphQL · Vue.js · JavaScript · Node.js,fullstack
